,NIP,1900-Q000001,1900-Q000002,1900-Q000003,1900-Q000004,1901-Q000001,1901-Q000002,1901-Q000003,1901-Q000004,1902-Q000001,1902-Q000002,1902-Q000003,1902-Q000004,1903-Q000001,FT1,FV1,FT2,FV2
30,N198601228,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
31,N198604377,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
32,N198606667,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
33,N198607572,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
34,N198700065,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
35,N198700233,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
36,N198701208,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
37,N198702410,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
38,N198703153,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
39,N198704124,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
40,N198704237,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
41,N198705898,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
42,N198706027,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
43,N198706485,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
44,N198706532,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
45,N198806015,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
46,N198900219,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
47,N198901701,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
48,N198902201,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
49,N198902913,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
50,N198903744,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
51,N198904514,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
52,N198905293,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
53,N198905365,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
54,N198906131,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
55,N198906785,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
56,N198906873,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
57,N199000825,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
58,N199001292,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
59,N199002400,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
60,N199005885,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
61,N199006074,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
62,N199100051,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
63,N199100865,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
64,N199102296,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
65,N199103004,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
66,N199106382,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
67,N199200959,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
68,N199202365,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
69,N199204337,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
70,N199300284,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
71,N199300892,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
72,N199301061,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
73,N199301185,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
74,N199301599,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
75,N199301601,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
76,N199301858,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
77,N199302118,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
78,N199303018,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
79,N199304086,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
80,N199304100,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
81,N199402230,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
82,N199402356,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
83,N199402447,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
84,N199402901,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
85,N199403439,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
86,N199404506,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
87,N199500115,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
88,N199501208,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
89,N199501223,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
90,N199501335,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
91,N199503036,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
92,N199503168,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
93,N199503267,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
94,N199503591,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
95,N199600381,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
96,N199601023,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
97,N199602363,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
98,N199701151,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
99,N199701601,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
100,N199701715,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
101,N199702270,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
102,N199702441,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
103,N199702998,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
104,N199703831,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
105,N199703916,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
106,N199704010,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
107,N199704012,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
108,N199704117,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
109,N199704298,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
110,N199800068,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
111,N199800107,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
112,N199800296,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
113,N199800377,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
114,N199801868,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
115,N199802072,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
116,N199802197,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
117,N199802420,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
118,N199802866,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
119,N199803610,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
120,N199803949,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
121,N199804148,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
122,N199804183,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
123,N199900263,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
124,N199900994,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
125,N199901170,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
126,N199901885,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
127,N199903205,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
128,N199904079,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
129,N200000062,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
130,N200000242,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
131,N200000372,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
132,N200000791,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
133,N200001674,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
134,N200002302,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
135,N200004345,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
136,N200100036,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
137,N200100516,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
138,N200102060,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
139,N200102464,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
140,N200102573,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
141,N200102779,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
142,N200102831,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
143,N200103454,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
144,N200104074,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
145,N200200029,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
146,N200200426,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
147,N200200514,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
148,N200200738,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
149,N200200756,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
150,N200201095,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
151,N200201306,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
152,N200201750,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
153,N200201832,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
154,N200201878,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
155,N200202339,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
156,N200202714,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
157,N200202970,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
158,N200202973,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
159,N200204055,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
160,N200204146,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
161,N200204219,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
162,N200204404,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
163,N200300871,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
164,N200301118,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
165,N200301413,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
166,N200301671,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
167,N200301821,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
168,N200301833,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
169,N200302044,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
170,N200302052,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
171,N200302280,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
172,N200302575,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
173,N200302685,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
174,N200302801,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
175,N200303022,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
176,N200303315,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
177,N200303600,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
178,N200303693,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
179,N200303759,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
180,N200303812,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
181,N200304007,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
182,N200304353,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
183,N200400049,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
184,N200400050,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
185,N200400662,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
186,N200401228,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
187,N200401550,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
188,N200401617,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
189,N200401653,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
190,N200401716,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
191,N200402194,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
192,N200402427,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
193,N200403465,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
194,N200404325,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
195,N200404791,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
196,N200500254,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
197,N200500437,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
198,N200500444,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
199,N200500467,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
200,N200500832,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
201,N200501494,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
202,N200501731,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
203,N200501783,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
204,N200502077,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
205,N200502720,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
206,N200503170,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
207,N200503200,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
208,N200503352,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
209,N200503450,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
210,N200503884,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
211,N200503893,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
212,N200504194,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
213,N200504397,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
214,N200504401,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
215,N200504430,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
216,N200504495,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
217,N200504524,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
218,N200505190,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
219,N200505297,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
220,N200600407,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
221,N200600654,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
222,N200600743,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
223,N200600755,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
224,N200600841,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
225,N200601051,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
226,N200601293,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
227,N200601652,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
228,N200601727,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
229,N200601913,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
230,N200601943,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
231,N200602321,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
232,N200602651,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
233,N200602869,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
234,N200603230,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
235,N200603397,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
236,N200603450,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
237,N200603902,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
238,N200604577,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
239,N200604992,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
240,N200605000,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
241,N200605555,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
242,N200605727,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
243,N200700792,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
244,N200701005,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
245,N200701131,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
246,N200701143,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
247,N200701843,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
248,N200701980,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
249,N200702163,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
250,N200702440,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
251,N200702658,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
252,N200702703,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
253,N200702732,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
254,N200702938,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
255,N200703362,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
256,N200704210,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
257,N200704463,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
258,N200704779,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
259,N200705092,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
260,N200705167,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
261,N200705208,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
262,N200705418,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
263,N200706323,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
264,N200706622,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
265,N200706627,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
266,N200800424,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
267,N200800840,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
268,N200801154,0,0,0,0,0,0,0,0,0,0,0,0,0,6,TRAIT,1,Radiothérapie
